Clock frequency is approx. 2296.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	8843.9	9196.4	7188.7	5337.8	4299.7	3622.5	3138.7	2756.3	2536.4	2377.0	2262.6	2132.3	2121.9	2082.8	2069.3	1992.1	2075.6	2071.1	2075.9	2123.9	2176.9	2215.1	2260.0	2302.2	2343.9	2370.8	2253.9	2490.6	2558.5	2543.0	2662.7	1819.8	2723.1	2821.5	2688.7	2746.2	2916.4	2998.6	3042.8	2384.1	3127.8	3351.4	3929.8	4084.4	4060.2	4237.7	4343.5	2717.1	4426.8	4482.9	4536.7	3366.8	3509.4	3684.3	4592.5	4646.9	4882.5	3902.4	4057.2	4075.2	4215.5	4310.8	4310.8	1819.5	
16m	9306.9	9279.7	7634.0	5788.5	4706.9	3991.6	3479.6	3088.1	2878.6	2708.3	2608.5	2535.0	2511.6	2470.0	2607.4	2270.4	2690.5	2981.1	3081.2	3180.2	3178.1	3286.6	3310.5	3330.9	3429.9	3419.4	3412.9	3625.3	3558.1	3700.0	3829.0	2102.9	3872.3	3799.6	3876.0	3866.4	3247.3	3391.4	3568.4	3643.4	3959.8	4087.6	4831.3	5085.3	5037.4	5247.8	5236.7	4487.7	5004.8	5272.1	5281.2	5300.8	5294.7	5280.4	5280.3	5302.7	5266.2	5289.3	5273.6	5256.8	5241.5	5225.5	5216.5	1833.5	
8m	9305.6	9279.9	8890.2	7764.8	6569.2	5557.4	4769.0	4229.6	3928.9	3725.8	3558.5	3541.0	3520.9	3795.5	3414.1	3134.4	4087.5	4121.3	4168.6	4111.2	4130.1	4196.0	4168.4	4237.7	4314.0	4281.1	4318.3	4347.5	4373.5	4380.8	4417.1	2875.4	4433.5	4387.6	4412.3	4402.4	4377.0	4413.7	4410.8	4400.8	4585.4	4595.7	5205.1	5242.4	5286.7	5299.9	5325.6	5293.7	5347.5	5334.0	5337.3	5327.9	5322.2	5338.7	5332.8	5325.5	5331.9	5309.9	5304.9	5286.4	5292.7	5258.6	5252.8	3298.3	
4m	9314.9	9314.7	9266.4	9154.9	8546.5	7514.6	6499.1	5719.0	5434.9	5241.5	5078.2	5002.3	4942.8	4909.4	4896.9	4747.5	4884.7	4858.4	4846.6	4844.4	4827.1	4806.0	4780.6	4775.6	4777.1	4782.4	4762.8	4760.7	4764.7	4770.6	4765.6	4320.5	4769.4	4612.5	4621.9	4618.3	4618.8	4626.5	4617.1	4620.2	4725.0	4769.7	5314.8	5356.2	5540.6	5577.0	5596.1	5511.7	5606.9	5586.2	5577.6	5607.1	5596.9	5599.9	5596.9	5592.7	5579.9	5587.4	5582.1	5606.4	5590.3	5587.2	5723.3	4782.3	
2m	9316.3	9315.7	9314.6	9250.7	8684.7	7577.7	6573.9	5760.5	5488.1	5291.7	5145.4	5039.6	4968.8	4928.5	4927.3	4904.8	4893.8	4885.3	4875.2	4848.8	4834.0	4837.0	4808.2	4796.7	4799.0	4789.5	4806.6	4782.1	4788.4	4782.8	4782.4	4743.4	4788.3	4778.2	4773.5	4766.9	4767.5	4767.2	4787.6	4802.3	4785.3	4789.2	5508.4	5519.0	5955.0	5962.3	5621.5	5506.2	5603.0	5715.9	5865.5	5612.5	5603.7	5622.8	6398.6	5602.2	5727.8	6379.0	7031.6	7388.1	7841.6	7587.1	7670.5	5516.6	
1024k	9315.6	9313.7	9313.9	9262.8	8701.8	7563.4	6557.3	5766.7	5497.4	5282.4	5136.0	5042.6	4973.7	4923.7	4918.5	4911.9	4908.7	4872.5	4874.6	4851.8	4845.0	4638.9	4821.0	4791.8	4809.7	4795.7	4783.6	4783.7	4799.2	4787.0	4794.5	4770.8	4806.0	4809.7	4863.9	4829.2	4881.2	4969.1	5039.2	5171.6	9247.2	9263.4	9235.8	9261.3	8958.3	9181.9	9249.5	5488.7	9231.8	9238.1	9184.0	9233.4	9255.1	9234.4	9219.3	9201.6	9266.6	9215.6	9248.5	9236.8	9238.2	9214.5	9239.5	5498.0	
512k	9313.7	9309.0	9309.4	9259.7	8624.1	7538.4	6550.5	5750.6	5487.0	5292.6	5146.8	5032.2	4977.7	4934.1	4920.9	4953.6	4960.6	5017.7	5108.5	5307.5	5274.4	5912.7	5921.8	6529.0	6781.6	7068.1	7480.5	8492.7	9090.4	9148.4	9145.0	4843.9	9197.3	9172.1	6435.6	9206.1	9153.6	9219.4	9164.2	9219.8	9163.2	9269.4	9196.0	9211.0	9129.1	9181.5	9193.0	9165.5	9179.7	9223.5	9256.0	9207.7	9165.4	9173.6	9134.1	9178.1	9166.0	9134.4	9149.0	9202.9	9160.5	9166.6	9133.5	5493.2	
256k	9309.0	9306.7	9302.9	9284.8	9183.3	9087.9	8788.1	8594.4	8569.4	8760.9	8865.2	8943.6	9178.5	9085.0	9131.7	8326.1	8926.9	9180.8	9198.0	9219.8	9168.5	9180.1	9175.1	9205.9	9181.3	9171.2	9181.1	9092.7	9191.1	9202.9	9123.5	8464.8	9100.3	9115.4	9146.1	9085.4	9158.1	9070.9	9120.2	9063.6	9151.0	9080.7	9136.0	9118.1	9073.4	9135.9	9017.4	9059.5	8977.5	9131.7	9050.1	8972.2	8913.6	9060.8	9028.6	9001.3	9118.5	9101.4	9011.6	9020.8	8985.3	9158.0	9151.0	8872.0	
128k	9312.4	9297.5	9295.0	9292.9	9291.0	9253.9	9269.1	9238.1	9216.2	9225.5	9198.6	9158.8	9200.4	9193.8	9094.4	9016.7	9087.3	9095.3	9091.7	9096.5	9080.7	9154.8	9148.6	9020.4	9117.9	9014.1	9075.5	8941.4	9117.4	9004.6	9192.7	8872.0	9322.5	9258.4	9184.0	9123.8	9304.8	9229.4	9162.1	9106.1	9059.2	9255.1	9184.0	9141.0	9084.1	9034.9	9277.1	8681.5	9190.8	9145.6	9078.0	9362.3	9338.8	9287.3	9242.1	9199.7	9164.0	9131.4	9073.7	9051.3	8999.6	8955.2	8909.8	8675.6	
64k	9302.0	9286.0	9253.9	9274.5	9276.7	9219.4	9241.2	9184.0	9225.8	9140.7	9118.1	9033.4	9028.1	9031.5	9004.6	9060.1	9258.4	9123.8	9229.4	9128.2	8999.4	9141.0	9034.9	9244.9	9145.6	9040.5	9287.3	9199.7	9131.4	9051.3	8955.2	8549.4	9188.6	9141.3	9067.7	9005.8	8917.1	8875.1	9272.3	9217.7	9172.5	9090.7	9065.0	8996.7	8938.4	8884.5	9413.6	8754.3	8720.8	9283.2	8626.7	9154.9	8547.7	8491.0	9054.7	8394.7	8973.1	8877.3	8849.1	8828.2	8806.8	8729.7	8714.7	8163.5	
32k	9290.6	9260.8	9165.5	9238.1	9163.0	9059.5	9281.1	9166.1	9123.8	9128.2	9141.0	9244.9	9012.3	9199.7	9018.8	9220.0	9141.3	9005.8	9335.6	9217.7	9090.7	8996.7	8836.5	8803.4	9283.2	9154.9	9101.4	9014.5	8938.5	8828.2	8729.7	8580.6	8562.5	8504.0	8460.8	9244.9	9152.9	9078.6	9012.3	8954.4	8905.3	8865.7	8747.7	8715.4	8615.9	8514.3	8512.3	8510.1	8427.0	8354.8	8281.0	8313.1	8249.5	8184.5	8131.6	9327.5	9281.0	7896.0	9233.9	9084.1	9065.8	9046.9	9044.8	8772.7	
16k	9279.1	9229.0	9112.2	9201.9	9106.1	9110.5	9199.7	9292.9	9005.8	9217.7	8949.5	8803.4	9213.2	9014.5	8828.2	9480.2	8504.0	9244.9	9078.6	8954.4	8865.7	8715.4	8514.3	8418.6	8354.8	8313.1	9401.1	9199.7	9249.6	9084.1	8913.8	9042.7	8897.0	8764.8	8807.6	8705.6	8600.2	8680.5	8458.9	8384.5	8482.4	8291.1	8252.6	8212.6	8036.0	8013.5	7990.0	7989.1	7988.1	7820.7	7677.2	7694.0	7711.5	7561.8	7576.8	17642.9	7488.1	7357.6	10965.3	19587.7	18097.8	18941.9	7106.6	7168.0	
8k	9247.2	9148.2	9137.1	9292.9	9217.7	8516.4	8342.6	8707.8	9244.9	8954.4	8715.4	8418.6	9516.3	7995.0	9084.1	9042.7	8764.8	8705.6	8530.8	8384.5	8291.1	8212.6	8013.5	7989.1	7820.7	7694.0	7561.8	7449.2	11163.3	18435.4	17827.7	18367.9	10544.5	17219.9	6715.8	6681.9	19515.9	18986.1	18544.5	18014.7	19037.6	18654.9	19829.0	17793.9	20893.5	18576.6	19975.1	19515.9	19171.5	18712.3	18367.9	20026.1	19643.5	19260.8	18878.1	18623.0	18240.4	17985.2	17602.6	17347.5	19228.9	18941.9	16582.1	18367.9	
4k	8366.9	8805.6	8610.0	8707.8	8954.4	8071.5	9327.5	9042.7	8705.6	8384.5	8212.6	18641.2	7694.0	7449.2	19587.7	19592.4	6720.0	18613.9	6670.8	19515.9	18654.9	19411.5	20434.3	19515.9	18712.3	20026.1	17334.7	16760.7	17985.2	17347.5	18941.9	13358.5	17793.9	17219.9	19187.9	11793.0	18039.9	15354.4	15067.4	7318.5	16235.9	5302.6	18176.6	11862.6	14923.9	12771.4	14267.9	10842.2	15880.6	13283.9	15306.6	6396.0	12627.9	10762.4	14158.6	11971.9	13584.6	13393.3	11315.9	11151.9	10987.9	12627.9	9327.5	12245.3	
